numeric_columns,temperature1,temperature2,temperature3,tds,temperature_target,tds_target
,26.12,23.25,26.75,403.61,30,800
,26.12,23.25,26.75,400.06,30,800
,26.12,23.25,26.75,400.74,30,800
,26.12,23.25,26.75,400.25,30,800
,26.12,23.25,26.69,400.06,30,800
,26.12,23.25,26.69,398.05,30,800
,26.12,23.25,26.69,399.92,30,800
,26.12,23.25,26.69,399.67,30,800
,26.12,23.25,26.69,399.94,30,800
,26.12,23.25,26.62,399.48,30,800
,26.12,23.25,26.69,399.84,30,800
,26.12,23.25,26.62,385.56,30,800
,26.12,23.25,26.62,384.66,30,800
,26.12,23.25,26.69,385.68,30,800
,26.06,23.25,26.62,385.49,30,800
,26.06,23.25,26.62,385.56,30,800
,26.12,23.5,26.62,385.75,30,800
,26.06,23.75,26.56,385.61,30,800
,26.06,23.5,26.62,385.63,30,800
,26.06,23.5,26.56,385.78,30,800
,26.06,23.5,26.56,385.66,30,800
,26.06,23.5,26.56,385.61,30,800
,26.06,23.25,26.56,385.53,30,800
,26.06,23.25,26.56,385.61,30,800
,26.06,23.25,26.56,384.08,30,800
,26.06,23.25,26.56,385.56,30,800
,26,23.25,26.56,385.03,30,800
,26.06,23.25,26.56,384.88,30,800
,26.06,23.25,26.5,385.7,30,800
,26.06,23.25,26.5,377.44,30,800
,26,23.25,26.5,376.66,30,800
,26,23.25,26.5,376.54,30,800
,26,23.25,26.5,377,30,800
,26,23,26.5,376.74,30,800
,26,23.25,26.5,376.91,30,800
,26,23,26.5,376.62,30,800
,26,23,26.44,379.83,30,800
,26.06,23.25,26.5,378.6,30,800
,26.06,23,26.5,378.77,30,800
,26,23,26.44,378.77,30,800
,26.06,23,26.44,383.31,30,800
,26.06,23,26.44,382.97,30,800
,26.69,23,26.44,382.88,30,800
,27.44,23,26.5,383.46,30,800
,27.75,23,26.62,409.2,30,800
,27.81,54.5,26.62,389.01,30,800
,27.81,36,26.62,389.47,30,800
,27.87,31.5,26.69,388.75,30,800
,27.81,28.75,26.75,395.11,30,800
,27.87,27.5,26.81,396.53,30,800
,26.44,25.75,26.75,424.96,30,800
,26.19,25.5,26.75,440.88,30,800
,26.12,25.25,26.75,452.61,30,800
,26.06,25,26.69,377.82,30,800
,26.06,23.75,26.62,377,30,800
,26.06,44.75,26.62,377.58,30,800
,26.06,33.75,26.62,376.2,30,800
,26.06,30.5,26.56,376.81,30,800
,26,28.5,26.62,375.84,30,800
,26,27,26.56,376.81,30,800
,26.06,26.25,26.56,376.71,30,800
,26.06,25.5,26.56,376.62,30,800
,26.06,24.5,26.56,376.62,30,800
,26,24.75,26.56,377.32,30,800
,26,43.75,26.5,376.78,30,800
,26,36.25,26.5,376.45,30,800
,25.94,24,26.44,375.67,30,800
,25.94,24,26.44,375.84,30,800
,26,24,26.44,375.99,30,800
,25.94,24,26.37,374.27,30,800
,25.94,23.75,26.44,375.36,30,800
,26,23.75,26.44,375.65,30,800
,25.94,23.75,26.44,376.83,30,800
,25.94,23.75,26.37,376.95,30,800
,25.94,23.5,26.37,377.68,30,800
,25.94,23.5,26.37,378.24,30,800
,25.94,23.5,26.37,377.37,30,800
,25.94,23.5,26.37,378.38,30,800
,25.94,23.25,26.37,378.74,30,800
,25.94,23.25,26.37,378.91,30,800
,25.94,23.25,26.37,378.6,30,800
,25.94,23.25,26.31,378.4,30,800
,25.94,23.25,26.37,378.74,30,800
,25.88,23.25,26.37,378.48,30,800
,25.88,23.25,26.31,378.82,30,800
,25.88,23.25,26.31,378.57,30,800
,25.88,23,26.31,378.57,30,800
,25.88,23,26.31,378.36,30,800
,25.88,23,26.31,378.55,30,800
,25.88,23,26.31,378.69,30,800
,25.88,23,26.31,378.38,30,800
,25.88,23,26.31,378.45,30,800
,25.81,23,26.31,378.5,30,800
,25.88,23,26.25,378.04,30,800
,25.88,23,26.25,378.19,30,800
,26.5,23,26.25,378.02,30,800
,27.25,23,26.31,378.48,30,800
,27.5,23,26.37,379.59,30,800
,27.56,23,26.37,379.83,30,800
,27.62,23,26.44,380.24,30,800
,27.62,22.75,26.5,380.56,30,800
,27.69,22.75,26.56,380.6,30,800
,27.62,22.75,26.56,381.06,30,800
,27.69,22.75,26.62,381.57,30,800
,27.69,22.75,26.62,382.46,30,800
,27.69,22.75,26.69,381.4,30,800
,27.75,22.75,26.69,382.73,30,800
,27.75,22.75,26.75,382.9,30,800
,27.75,22.75,26.81,382.54,30,800
,27.75,22.75,26.81,383.31,30,800
,27.81,22.75,26.87,383.17,30,800
,27.31,22.75,26.87,383.21,30,800
,26.44,22.75,26.87,383.07,30,800
,26.25,22.75,26.81,383.04,30,800
,26.06,22.75,26.81,382.85,30,800
,26.06,22.75,26.81,383.04,30,800
,26.06,22.75,26.81,382.9,30,800
,26.06,22.75,26.75,383,30,800
,26.06,22.75,26.81,382.73,30,800
,26.12,22.75,26.75,382.75,30,800
,26.06,22.75,26.75,382.63,30,800
,26.06,22.75,26.75,382.61,30,800
,26.06,22.75,26.75,382.42,30,800
,26.06,22.75,26.69,382.61,30,800
,26.06,22.75,26.69,382.32,30,800
,26.12,22.75,26.69,382.15,30,800
,26.06,22.75,26.69,382.2,30,800
,26.06,22.75,26.69,382.54,30,800
,26.06,22.75,26.69,382.42,30,800
,26.06,22.75,26.69,382.01,30,800
,26.06,22.75,26.62,382.25,30,800
,26.06,22.75,26.69,381.74,30,800
,26.06,22.75,26.62,381.88,30,800
,26.12,22.75,26.62,381.59,30,800
,26.06,22.75,26.62,382.25,30,800
,26.06,22.75,26.62,381.45,30,800
,26.06,22.75,26.56,381.62,30,800
,26.12,22.75,26.56,381.74,30,800
,26.06,22.75,26.56,381.47,30,800
,26.06,22.75,26.56,381.33,30,800
,26,22.75,26.62,381.18,30,800
,26.06,22.75,26.56,381.11,30,800
,26.06,22.75,26.56,380.8,30,800
,26.06,22.75,26.5,381.09,30,800
,26,22.75,26.56,381.18,30,800
,26,22.75,26.56,380.75,30,800
,26.06,22.75,26.5,381.09,30,800
,26,22.75,26.5,381.3,30,800
,26,22.75,26.5,380.58,30,800
,26,22.5,26.5,380.99,30,800
,26,22.75,26.5,380.92,30,800
,26,22.75,26.5,380.24,30,800
,25.94,22.5,26.5,380.7,30,800
,26,22.75,26.5,380.12,30,800
,26,22.75,26.44,380.51,30,800
,26,22.75,26.44,380,30,800
,25.94,22.5,26.44,380.24,30,800
,26,22.5,26.44,379.9,30,800
,25.94,22.5,26.44,379.18,30,800
,25.94,22.5,26.44,379.61,30,800
,25.94,22.5,26.44,379.78,30,800
,25.94,22.5,26.44,379.64,30,800
,25.94,22.5,26.44,380.22,30,800
,25.94,22.5,26.37,379.81,30,800
,25.94,22.5,26.44,379.52,30,800
,25.94,22.5,26.37,379.44,30,800
,25.94,22.5,26.37,379.37,30,800
,25.94,22.5,26.37,379.71,30,800
,25.88,22.5,26.37,379.06,30,800
,25.94,22.75,26.37,379.9,30,800
,25.88,22.5,26.37,379.27,30,800
,25.94,22.5,26.31,379.27,30,800
,25.88,22.75,26.31,379.32,30,800
,25.94,22.5,26.31,379.11,30,800
,25.88,22.5,26.31,379.06,30,800
,25.88,22.5,26.37,379.06,30,800
,25.94,22.5,26.31,379.15,30,800
,25.88,22.5,26.31,379.01,30,800
,25.88,22.5,26.31,378.94,30,800
,25.88,22.75,26.31,378.86,30,800
,25.88,22.5,26.31,378.91,30,800
,25.88,22.5,26.31,378.91,30,800
,25.88,22.5,26.31,378.53,30,800
,25.81,22.75,26.25,379.15,30,800
,25.88,22.5,26.25,378.72,30,800
,25.81,22.5,26.25,378.65,30,800
,25.81,22.5,26.25,378.62,30,800
,25.81,22.5,26.25,378.5,30,800
,25.81,22.5,26.25,378.45,30,800
,25.81,22.5,26.19,378.53,30,800
,25.81,22.5,26.25,378.24,30,800
,25.81,22.5,26.25,378.72,30,800
,25.81,22.75,26.19,378.11,30,800
,25.81,22.5,26.19,378.5,30,800
,25.81,22.5,26.19,378.28,30,800
,25.81,22.5,26.19,378.53,30,800
,25.81,22.5,26.19,378.33,30,800
,25.75,22.5,26.19,377.85,30,800
,25.75,22.5,26.19,378.09,30,800
,26.75,22.5,26.19,378.36,30,800
,27.25,22.5,26.25,378.72,30,800
,27.44,22.5,26.31,379.56,30,800
,27.5,22.5,26.37,380.05,30,800
,27.56,22.5,26.37,379.98,30,800
,27.56,22.5,26.37,380.24,30,800
,27.62,22.5,26.5,380.68,30,800
,27.56,22.5,26.5,381.21,30,800
,27.62,22.5,26.56,381.64,30,800
,27.62,22.5,26.56,381.74,30,800
,27.62,22.5,26.62,381.81,30,800
,27.62,22.5,26.62,382.37,30,800
,27.62,22.5,26.69,382.61,30,800
,27.69,22.5,26.69,382.75,30,800
,27.69,22.5,26.75,383.19,30,800
,27.75,22.5,26.75,383.17,30,800
,27.75,22.5,26.81,383.07,30,800
,27.81,22.5,26.87,383.55,30,800
,27.31,22.5,26.87,383.82,30,800
,26.44,22.5,26.81,383.43,30,800
,26.19,22.5,26.87,383.29,30,800
,26.06,22.5,26.81,383.29,30,800
,26,22.5,26.81,383.02,30,800
,26.06,22.5,26.81,383.19,30,800
,26.06,22.5,26.75,383,30,800
,26,22.5,26.75,383.02,30,800
,26.06,22.5,26.75,383,30,800
,26.06,22.5,26.75,382.8,30,800
,26.06,22.5,26.75,382.83,30,800
,26.06,22.5,26.75,382.85,30,800
,26.06,22.5,26.69,382.92,30,800
,26.06,22.5,26.75,382.78,30,800
,26.06,22.5,26.69,382.9,30,800
,26.06,22.5,26.69,382.54,30,800
,26.06,22.5,26.69,382.75,30,800
,26.06,22.5,26.69,382.54,30,800
,26.06,22.5,26.69,382.75,30,800
,26.06,22.5,26.62,382.63,30,800
,26.06,22.5,26.69,382.56,30,800
,26.06,22.5,26.62,382.32,30,800
,26.06,22.5,26.62,382.61,30,800
,26.06,22.5,26.62,382.44,30,800
,26.06,22.5,26.62,382.01,30,800
,26.06,22.5,26.62,382.01,30,800
,26.06,22.5,26.56,382.2,30,800
,26,22.5,26.62,381.96,30,800
,26.06,22.5,26.56,381.72,30,800
,26.06,22.5,26.56,381.79,30,800
,26.06,22.5,26.56,381.64,30,800
,26.06,22.5,26.56,381.81,30,800
,26.06,22.5,26.56,381.91,30,800
,26,22.5,26.56,381.74,30,800
,26,22.5,26.56,381.26,30,800
,26,22.5,26.5,381.59,30,800
,26,22.5,26.5,381.26,30,800
,26,22.5,26.5,381.45,30,800
,26,22.5,26.5,381.59,30,800
,26,22.5,26.5,381.09,30,800
,26,22.5,26.5,381.21,30,800
,26,22.5,26.5,381.09,30,800
,26,22.5,26.5,381.47,30,800
,26,22.5,26.44,380.94,30,800
,26,22.5,26.44,381.35,30,800
,25.94,22.5,26.44,381.28,30,800
,25.94,22.5,26.44,381.06,30,800
,25.94,22.5,26.44,380.82,30,800
,26,22.5,26.44,380.82,30,800
,25.94,22.5,26.44,380.8,30,800
,25.94,22.5,26.44,380.17,30,800
,26,22.5,26.44,380.41,30,800
,25.94,22.5,26.37,380.39,30,800
,25.94,22.5,26.37,380.39,30,800
,25.94,22.5,26.37,380.24,30,800
,25.94,22.5,26.37,380.14,30,800
,25.94,22.5,26.37,380.1,30,800
,25.94,22.5,26.37,380.19,30,800
,25.94,22.5,26.37,379.76,30,800
,25.94,22.5,26.37,380.07,30,800
,25.88,22.5,26.37,380.24,30,800
,25.88,22.5,26.37,380,30,800
,25.88,22.5,26.31,379.9,30,800
,25.88,22.5,26.31,380.05,30,800
,25.88,22.5,26.31,379.71,30,800
,25.88,22.5,26.31,379.71,30,800
,25.88,22.5,26.31,379.83,30,800
,25.88,22.5,26.31,379.49,30,800
,25.88,22.5,26.31,379.13,30,800
,25.94,22.5,26.31,379.47,30,800
,25.88,22.5,26.31,379.47,30,800
,25.88,22.5,26.31,379.76,30,800
,25.88,22.5,26.25,379.44,30,800
,25.88,22.5,26.31,379.37,30,800
,25.81,22.5,26.25,379.13,30,800
,25.88,22.5,26.31,379.54,30,800
,25.88,22.5,26.25,379.27,30,800
,25.81,22.5,26.25,379.42,30,800
,25.81,22.5,26.25,379.03,30,800
,25.81,22.5,26.25,379.06,30,800
,25.81,22.5,26.25,378.94,30,800
,25.81,22.5,26.25,378.67,30,800
,25.81,22.5,26.25,378.62,30,800
,25.81,22.5,26.19,378.79,30,800
,25.81,22.5,26.19,378.72,30,800
,25.81,22.5,26.19,378.53,30,800
,25.81,22.5,26.19,378.77,30,800
,25.81,22.5,26.19,378.84,30,800
,25.81,22.5,26.19,378.33,30,800
,25.75,22.5,26.19,378.6,30,800
,25.75,22.5,26.19,378.53,30,800
,25.75,22.5,26.19,378.45,30,800
,25.75,22.5,26.12,378.53,30,800
,25.75,22.5,26.19,378.5,30,800
,25.75,22.5,26.19,378.02,30,800
,25.75,22.5,26.12,378.21,30,800
,25.75,22.5,26.12,377.51,30,800
,25.75,22.5,26.19,378.19,30,800
,25.75,22.5,26.12,377.9,30,800
,25.69,22.5,26.12,378.53,30,800
,25.75,22.5,26.12,378.26,30,800
,26.44,22.5,26.12,378.14,30,800
,27.19,22.5,26.19,379.18,30,800
,27.37,22.5,26.25,379.37,30,800
,27.44,22.5,26.25,379.66,30,800
,27.5,22.5,26.31,380.48,30,800
,27.5,22.5,26.37,380.36,30,800
,27.5,22.5,26.44,379.83,30,800
,27.56,22.5,26.44,379.08,30,800
,27.56,22.5,26.5,381.3,30,800
,27.56,22.5,26.5,382.15,30,800
,27.56,22.5,26.56,382.54,30,800
,27.62,22.5,26.62,382.71,30,800
,27.62,22.5,26.62,382.32,30,800
,27.62,22.5,26.69,383.46,30,800
,27.69,22.5,26.75,383.36,30,800
,27.62,22.5,26.75,383.29,30,800
,27.69,22.5,26.75,383.7,30,800
,27.69,22.5,26.81,383.77,30,800
,27.75,22.5,26.87,383.89,30,800
,27.75,22.5,26.87,384.3,30,800
,27.81,22.5,26.94,384.71,30,800
,26.62,22.5,26.94,384.62,30,800
,26.25,22.5,26.87,384.64,30,800
,26.12,22.5,26.87,384.11,30,800
,26.12,22.5,26.87,384.13,30,800
,26.12,22.5,26.87,383.75,30,800
,26.06,22.5,26.81,383.6,30,800
,26.06,22.5,26.81,383.89,30,800
,26.06,22.5,26.81,383.04,30,800
,26.06,22.5,26.81,383.29,30,800
,26.06,22.5,26.81,383.43,30,800
,26.12,22.5,26.81,383.58,30,800
,26.06,22.5,26.75,383.17,30,800
,26.12,22.5,26.75,383.24,30,800
,26.12,22.5,26.75,383.12,30,800
,26.12,22.5,26.75,382.95,30,800
,26.12,22.5,26.75,382.85,30,800
,26.12,22.5,26.75,383.12,30,800
,26.12,22.5,26.69,383.02,30,800
,26.12,22.5,26.69,382.92,30,800
,26.12,24.5,26.69,381.47,30,800
,26.06,24.75,26.69,351.29,30,800
,26.12,25,26.69,350.95,30,800
,26.12,25,26.69,351.43,30,800
,26.12,25,26.62,351.21,30,800
,26.12,25,26.62,351,30,800
,26.12,25,26.62,350.03,30,800
,26.12,25,26.69,351,30,800
,26.12,25,26.62,351.04,30,800
,26.12,25,26.62,351.12,30,800
,26.12,25,26.62,351.38,30,800
,26.12,25,26.62,351.04,30,800
,26.12,25,26.62,351.26,30,800
,26.12,25,26.56,351.79,30,800
,26.12,25,26.62,351.16,30,800
,26.06,25,26.62,350.95,30,800
,26.12,25,26.56,350.78,30,800
,26.12,25,26.56,350.73,30,800
,26.12,24.75,26.56,350.83,30,800
,26.06,25,26.56,350.49,30,800
,26.12,25,26.56,350.8,30,800
,26.06,24.75,26.56,350.8,30,800
,26.06,24.75,26.56,351.14,30,800
,26.06,24.75,26.56,352.83,30,800
,26.06,24.75,26.56,351.09,30,800
,26.06,24.75,26.5,350.85,30,800
,26.06,24.75,26.56,350.85,30,800
,26.06,24.75,26.5,351.36,30,800
,26.06,24.75,26.5,351.55,30,800
,26.06,24.75,26.5,349.55,30,800
,26.06,24.75,26.5,350.49,30,800
,26.06,24.75,26.5,350.37,30,800
,26.06,24.75,26.5,350.97,30,800
,26.06,24.75,26.5,350.51,30,800
,26.06,24.75,26.5,351.36,30,800
,26.06,24.75,26.5,350.71,30,800
,26.06,24.75,26.5,350.61,30,800
,26.06,24.75,26.44,351.07,30,800
,26,24.75,26.44,351.24,30,800
,26,24.75,26.44,350.85,30,800
,26,24.75,26.44,350.87,30,800
,26,24.75,26.44,350.22,30,800
,26,24.75,26.37,350.95,30,800
,26,24.75,26.44,350.75,30,800
,26,24.75,26.37,351,30,800
,26,24.75,26.44,350.83,30,800
,26,24.75,26.44,351,30,800
,25.94,24.75,26.37,350.87,30,800
,26,24.75,26.37,351.43,30,800
,26,24.75,26.37,351.55,30,800
,25.94,24.75,26.37,351.26,30,800
,25.94,24.75,26.37,351.04,30,800
,26,24.75,26.37,351.02,30,800
,26,24.75,26.37,350.66,30,800
,26,24.75,26.37,350.1,30,800
,25.94,24.75,26.31,350.2,30,800
,25.94,24.75,26.31,350.63,30,800
,25.88,24.75,26.37,350.73,30,800
,25.94,24.75,26.31,350.75,30,800
,25.94,24.75,26.37,350.66,30,800
,25.94,24.75,26.37,350.92,30,800
,25.94,24.75,26.31,350.87,30,800
,25.88,24.75,26.31,350.58,30,800
,25.94,24.75,26.31,351,30,800
,25.94,24.75,26.31,351.02,30,800
,25.88,24.75,26.31,351.29,30,800
,25.88,24.75,26.31,350.78,30,800
,25.88,24.5,26.31,351.31,30,800
,25.88,24.75,26.31,351.14,30,800
,25.88,24.75,26.31,350.85,30,800
,25.88,24.75,26.25,351.14,30,800
,25.88,24.75,26.25,351.07,30,800
,25.88,24.75,26.25,350.97,30,800
,25.88,24.75,26.31,351.04,30,800
,25.88,24.75,26.25,350.22,30,800
,25.81,24.75,26.25,350.71,30,800
,25.88,24.75,26.25,350.75,30,800
,25.88,24.75,26.25,350.58,30,800
,25.81,24.5,26.25,350.87,30,800
,25.81,24.75,26.25,350.22,30,800
,25.88,24.5,26.25,350.22,30,800
,25.88,24.75,26.19,350.03,30,800
,25.81,24.75,26.25,350.51,30,800
,25.88,24.75,26.19,350.34,30,800
,25.81,24.75,26.25,350.71,30,800
,25.81,24.75,26.19,351.16,30,800
,25.81,24.5,26.19,350.85,30,800
,25.81,24.75,26.19,351.16,30,800
,25.81,24.75,26.19,350.66,30,800
,25.81,24.75,26.19,349.96,30,800
,25.81,24.5,26.19,351.09,30,800
,25.81,24.75,26.19,351.19,30,800
,25.75,24.75,26.19,351.12,30,800
,25.81,24.75,26.19,351.82,30,800
,25.75,24.5,26.19,351.79,30,800
,25.81,24.5,26.12,351.58,30,800
,25.81,24.5,26.12,350.95,30,800
,25.81,24.75,26.12,351.58,30,800
,25.75,24.5,26.12,351.31,30,800
,25.75,24.5,26.12,350.54,30,800
,25.75,24.75,26.12,350.27,30,800
,25.75,24.5,26.12,350.75,30,800
,25.75,24.5,26.12,350.29,30,800
,25.75,24.5,26.12,350.22,30,800
,25.75,24.5,26.12,350.46,30,800
,25.81,24.5,26.12,347.15,30,800
,26.94,24.5,26.19,350.63,30,800
,27.31,24.5,26.19,351.77,30,800
,27.37,24.5,26.25,352.49,30,800
,27.44,24.5,26.31,352.69,30,800
,27.5,24.5,26.37,353.36,30,800
,27.5,24.5,26.37,353.39,30,800
,27.5,24.5,26.44,353.56,30,800
,27.5,24.75,26.44,353.44,30,800
,27.56,24.75,26.5,353.39,30,800
,27.56,24.75,26.5,353.94,30,800
,27.56,24.75,26.56,354.38,30,800
,27.62,24.75,26.56,354.38,30,800
,27.62,25,26.62,354.6,30,800
,27.62,24.75,26.69,355.18,30,800
,27.69,25,26.75,355.39,30,800
,27.69,25,26.75,355.35,30,800
,27.69,25,26.81,355.25,30,800
,27.75,25,26.81,355.85,30,800
,27.75,25,26.87,355.81,30,800
,27.75,25,26.87,355.93,30,800
,27.81,25,26.87,356.24,30,800
,27.81,25,26.94,356.26,30,800
,26.75,25,26.94,356.26,30,800
,26.31,25.25,26.87,355.64,30,800
,26.19,25.25,26.87,355.71,30,800
,26.12,25.5,26.87,355.25,30,800
,26.12,25.5,26.81,355.49,30,800
,26.12,25.5,26.81,355.42,30,800
,26.12,25.5,26.81,355.56,30,800
,26.12,25.5,26.81,355.52,30,800
,26.06,25.5,26.81,355.39,30,800
,26.12,25.5,26.81,355.66,30,800
,26.12,25.5,26.81,356.31,30,800
,26.06,25.25,26.81,356.43,30,800
,26.06,25.25,26.75,356.29,30,800
,26.12,25.25,26.75,355.95,30,800
,26.06,25.25,26.75,355.93,30,800
,26.06,25.25,26.75,355.93,30,800
,26.12,25.25,26.69,355.83,30,800
,26.12,25.25,26.69,355.71,30,800
,26.12,25.25,26.69,355.68,30,800
,26.12,25.25,26.69,355.32,30,800
,26.12,25.25,26.69,355.3,30,800
,26.06,25,26.69,355.15,30,800
,26.06,25,26.69,355.01,30,800
,26.06,25,26.62,354.89,30,800
,26.06,25,26.62,355.66,30,800
,26.12,25,26.62,355.73,30,800
,26.06,25,26.62,355.66,30,800
,26.06,25,26.62,355.47,30,800
,26.06,25,26.56,355.25,30,800
,26.06,25,26.62,355.56,30,800
,26.06,25,26.56,355.42,30,800
,26.06,25,26.62,355.68,30,800
,26.06,25,26.56,355.56,30,800
,26.06,25,26.56,355.81,30,800
,26.06,25,26.56,355.66,30,800
,26,25,26.56,355.3,30,800
,26,25,26.5,355.52,30,800
,26.06,25,26.56,355.06,30,800
,26.06,25,26.5,354.74,30,800
,26,24.75,26.5,354.91,30,800
,26,24.75,26.5,355.35,30,800
,26,24.75,26.5,355.15,30,800
,26,24.75,26.5,354.72,30,800
,26,24.75,26.5,354.38,30,800
,26,24.75,26.44,354.28,30,800
,26,24.75,26.5,354.45,30,800
,26,24.75,26.5,354.04,30,800
,26,24.75,26.44,353.22,30,800
,25.94,24.75,26.44,353.27,30,800
,26,24.75,26.44,355.3,30,800
,26,24.75,26.44,354.67,30,800
,26,24.75,26.37,355.03,30,800
,26,24.75,26.44,355.18,30,800
,25.94,24.75,26.37,354.57,30,800
,26,24.75,26.44,355.2,30,800
,25.94,24.75,26.37,355.59,30,800
,25.94,24.75,26.37,355.83,30,800
,25.94,24.75,26.37,355.68,30,800
,25.94,24.75,26.44,356.36,30,800
,25.88,24.75,26.37,356.02,30,800
,25.94,24.75,26.37,355.73,30,800
,25.94,24.75,26.37,355.54,30,800
,25.88,24.75,26.37,354.74,30,800
,25.94,24.75,26.37,354.11,30,800
,25.88,24.75,26.31,354.02,30,800
,25.88,24.75,26.31,353.44,30,800
,25.88,24.75,26.31,353.32,30,800
,25.88,24.75,26.31,353.44,30,800
,25.94,24.75,26.31,353.94,30,800
,25.88,24.75,26.31,353.41,30,800
,25.88,24.75,26.31,354.09,30,800
,25.88,24.75,26.25,354.26,30,800
,25.88,24.75,26.31,353.97,30,800
,25.88,24.5,26.25,354.62,30,800
,25.88,24.75,26.25,354.19,30,800
,25.81,24.5,26.25,354.45,30,800
,25.81,24.75,26.25,354.4,30,800
,25.88,24.5,26.25,354.43,30,800
,25.81,24.5,26.25,354.98,30,800
,25.81,24.5,26.25,355.01,30,800
,25.81,24.75,26.25,354.6,30,800
,25.81,24.5,26.25,353.8,30,800
,25.81,24.5,26.19,354.02,30,800
,25.81,24.75,26.25,354.84,30,800
,25.81,24.5,26.19,355.06,30,800
,25.81,24.5,26.19,355.83,30,800
,25.81,24.5,26.19,355.44,30,800
,25.81,24.5,26.19,354.74,30,800
,25.81,24.5,26.19,356.82,30,800
,25.75,24.5,26.12,356.17,30,800
,25.75,24.5,26.19,355.95,30,800
,25.75,24.5,26.19,355.68,30,800
,25.75,24.5,26.12,355.49,30,800
,26.12,24.5,26.19,353.73,30,800
,27.06,24.5,26.19,353.85,30,800
,27.37,24.5,26.25,354.19,30,800
,27.5,24.5,26.25,354.48,30,800
,27.5,24.5,26.31,354.52,30,800
,27.5,24.5,26.37,355.25,30,800
,27.56,24.5,26.44,355.68,30,800
,27.56,24.5,26.44,355.83,30,800
,27.56,24.75,26.5,355.71,30,800
,27.5,24.75,26.56,356.02,30,800
,27.56,24.75,26.56,356.41,30,800
,27.62,24.75,26.62,357.18,30,800
,27.62,24.75,26.62,357.11,30,800
,27.69,24.75,26.69,357.45,30,800
,27.69,24.75,26.69,357.45,30,800
,27.69,25,26.75,357.5,30,800
,27.69,25,26.75,358.08,30,800
,27.75,24.75,26.81,358.61,30,800
,27.75,25,26.81,358.46,30,800
,27.75,25,26.81,359.14,30,800
,27.81,25,26.87,359.67,30,800
,26.81,25,26.94,359.91,30,800
,26.37,25.25,26.87,359.7,30,800
,26.19,25.25,26.87,360.2,30,800
,26.12,25.5,26.81,359.99,30,800
,26.12,25.5,26.87,359.7,30,800
,26.06,25.5,26.81,359.62,30,800
,26.12,25.5,26.81,358.34,30,800
,26.06,25.5,26.81,357.79,30,800
,26.06,25.5,26.75,356.46,30,800
,26.06,25.5,26.75,356.82,30,800
,26.06,25.25,26.75,356.72,30,800
,26.06,25.25,26.75,356.99,30,800
,26.06,25.25,26.75,356.94,30,800
,26.06,25.25,26.69,356.97,30,800
,26.06,25.25,26.69,356.55,30,800
